capture_id,report,date,radio,channel,edge,gain_mode,configured_gain_db,sample_rate_hz,capture_rms_rx0_dbfs,capture_rms_rx1_dbfs,track_count,dual_valid_track_count,strong_slope_track_count
ch4-lower-edge-narrow-20260809T190525Z,ch4-lower-edge-narrow-20260809T190525Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.80133150362297,-33.00687014201321,3,1,1
ch4-lower-edge-narrow-20260809T190728Z,ch4-lower-edge-narrow-20260809T190728Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.683128208093608,-12.43957452074988,2,2,2
ch4-lower-edge-narrow-20260809T191038Z,ch4-lower-edge-narrow-20260809T191038Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.972316660028557,-12.234142016062757,1,1,1
ch4-lower-edge-narrow-20260809T191242Z,ch4-lower-edge-narrow-20260809T191242Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.31798002012546,-12.484573165490264,0,0,0
ch4-lower-edge-narrow-20260809T191523Z,ch4-lower-edge-narrow-20260809T191523Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.486503597232897,-32.70265196769572,1,1,1
ch4-lower-edge-narrow-20260809T191726Z,ch4-lower-edge-narrow-20260809T191726Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.814207174660178,-12.304873648760461,2,2,2
ch4-lower-edge-narrow-20260809T192007Z,ch4-lower-edge-narrow-20260809T192007Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.63702548233976,-12.381099378908353,2,0,0
ch4-lower-edge-narrow-20260809T192211Z,ch4-lower-edge-narrow-20260809T192211Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.742003726372182,-12.438841582426248,1,1,0
ch4-lower-edge-narrow-20260809T192452Z,ch4-lower-edge-narrow-20260809T192452Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.736268536197208,-12.315629315582619,3,0,0
ch4-lower-edge-narrow-20260809T192657Z,ch4-lower-edge-narrow-20260809T192657Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.471804948237935,-12.387685449770716,0,0,0
ch4-lower-edge-narrow-20260809T192938Z,ch4-lower-edge-narrow-20260809T192938Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.261982734998377,-33.3753141258389,0,0,0
ch4-lower-edge-narrow-20260809T193140Z,ch4-lower-edge-narrow-20260809T193140Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.150659192239416,-33.30631377921527,1,0,0
