event_id,report,capture_id,track_id,date,radio,channel,edge,observation_mode,gain_mode,configured_gain_db,sample_rate_hz,nominal_rf_hz,observation_count,dual_valid_count,consensus_count,duration_s,dual_duration_s,doppler_drift_hz_s,doppler_fit_rms_hz,seed_score,best_weak_receiver_margin,median_weak_receiver_margin,median_score_margin,median_exact_correlation,median_control_correlation,median_template_discrimination_db,median_matched_filter_snr_proxy_db,median_formal_frequency_sigma_hz,capture_rms_rx0_dbfs,capture_rms_rx1_dbfs,dual_valid,strong,long,slope_qualified
ch4-lower-edge-narrow-20260809T092933Z::track-000,ch4-lower-edge-narrow-20260809T092933Z.json,ch4-lower-edge-narrow-20260809T092933Z,track-000,2026-08-09,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,74,74,74,10.666855648717984,10.666855648717984,-3809.6516161643767,47.51425396311268,0.6881204977011628,0.40659131121020464,0.36542321926743193,0.37259603540173164,0.3873994009336649,0.015135735209810808,28.22054613946694,-7.530610741565479,24.94708941913045,-27.102569411162428,-32.17006578559469,True,True,True,True
ch4-lower-edge-narrow-20260808T171138Z::track-007,ch4-lower-edge-narrow-20260808T171138Z.json,ch4-lower-edge-narrow-20260808T171138Z,track-007,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,149,149,149,15.558084589680561,15.558084589680561,-4012.22840282853,163.09046829722143,0.6769208751447441,0.48980257949880407,0.35859228522207587,0.3695959751795109,0.3869955832763947,0.016368361880259967,27.405988919477444,-7.541267068171122,30.844220997509254,-26.96642263248464,-31.59040306064686,True,True,True,True
ch4-lower-edge-narrow-20260808T165225Z::track-000,ch4-lower-edge-narrow-20260808T165225Z.json,ch4-lower-edge-narrow-20260808T165225Z,track-000,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,26,26,26,5.6,5.6,-3416.115015947855,237.91836222884947,0.8157038083065944,0.4187718826795092,0.13450910937482347,0.3718474338411918,0.38549568817397084,0.01489247636634072,26.61523247328679,-7.58109238944925,50.0,-12.638176035846149,-12.371667743020435,True,True,True,True
ch4-lower-edge-narrow-20260809T052320Z::track-003,ch4-lower-edge-narrow-20260809T052320Z.json,ch4-lower-edge-narrow-20260809T052320Z,track-003,2026-08-09,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,27,27,27,3.000003600000028,3.000003600000028,-3805.6797491418492,16.339646731737297,0.7204173101666231,0.4070866024871553,0.34678647786794503,0.36655366028345004,0.3811685603894789,0.015388748724890235,27.849738207734696,-7.6958595193304475,23.345742560053914,-26.95252353053082,-32.009250634908646,True,True,False,True
ch4-lower-edge-narrow-20260808T072226Z::track-005,ch4-lower-edge-narrow-20260808T072226Z.json,ch4-lower-edge-narrow-20260808T072226Z,track-005,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,73,73,73,10.902615809523809,10.902615809523809,-4296.640401335054,98.70053339009858,0.8169296753035252,0.43185460480104837,0.35920094540734376,0.36503480438888436,0.38027146482115415,0.0156063435319688,27.68183476579336,-7.719792357268335,30.57465459354775,-12.486711948273149,-12.42117601289608,True,True,True,True
ch4-lower-edge-narrow-20260806T005956Z::track-001,ch4-lower-edge-narrow-20260806T005956Z-dense15.json,ch4-lower-edge-narrow-20260806T005956Z,track-001,2026-08-06,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,10,10,10,27.39999999999999,27.39999999999999,-4218.182288569407,402.8039521484737,0.2751608418184231,0.38987021998726246,0.21083137161001772,0.36652085282447,0.3797853880824067,0.017935816481885414,26.219628403816543,-7.733380582055892,50.0,-26.173986845589585,-30.96789683118029,True,True,True,True
ch4-lower-edge-narrow-20260808T083853Z::track-006,ch4-lower-edge-narrow-20260808T083853Z.json,ch4-lower-edge-narrow-20260808T083853Z,track-006,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,24,24,24,4.607106365714273,4.607106365714273,-3976.8703361378534,24.55207451495823,0.8415604739833429,0.4121945939716912,0.35530223439191433,0.362644736027689,0.37943351997547003,0.015128121999774154,27.53725752843027,-7.742210346588475,37.96607070696618,-26.929471889626527,-31.686778706174508,True,True,False,True
ch4-lower-edge-narrow-20260807T052301Z::track-001,ch4-lower-edge-narrow-20260807T052301Z.json,ch4-lower-edge-narrow-20260807T052301Z,track-001,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,8,8,8,1.022281911111115,1.022281911111115,-4525.511715978255,111.09489648312928,0.7028681926623963,0.38223581123333344,0.35225957720225765,0.367094909421796,0.3792279857183367,0.014843022609555157,28.3523878539325,-7.747686819840705,54.82176738050387,-26.794270071081733,-31.6137251174117,True,True,False,True
ch4-lower-edge-narrow-20260807T104638Z::track-001,ch4-lower-edge-narrow-20260807T104638Z.json,ch4-lower-edge-narrow-20260807T104638Z,track-001,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,11,11,11,0.9723956000000022,0.9723956000000022,-4399.732699433462,28.185849479796385,0.7453787314672348,0.45478916417081644,0.3534210044683476,0.36384593366431445,0.37882167024145963,0.01618382933750634,28.0604583170759,-7.758935828449628,33.65668821455705,-12.609630117759478,-12.470268970313445,True,True,False,True
ch4-lower-edge-narrow-20260806T055241Z::track-000,ch4-lower-edge-narrow-20260806T055241Z-dense15.json,ch4-lower-edge-narrow-20260806T055241Z,track-000,2026-08-06,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,53,53,53,15.600000000000005,15.600000000000005,-3833.6855189566095,455.7081798918589,0.6488404087008491,0.43520954661028033,0.34544176582289776,0.36233118355899296,0.3785896430078296,0.015366781025319345,27.829228892725503,-7.764778318983061,50.0,-26.51988659221207,-31.544669280749137,True,True,True,True
ch4-lower-edge-narrow-20260808T192428Z::track-000,ch4-lower-edge-narrow-20260808T192428Z.json,ch4-lower-edge-narrow-20260808T192428Z,track-000,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,4,4,4,0.8000015999999999,0.8000015999999999,-3676.33093932377,8.506579198115997,0.7169275755445031,0.35269572164528873,0.33946751595348557,0.3637362615808645,0.3782405894255363,0.015587411097443375,27.907245678529723,-7.777288116676422,23.62970203891614,-28.350613614686566,-32.62000830014175,True,True,False,True
ch4-lower-edge-narrow-20260807T160046Z::track-003,ch4-lower-edge-narrow-20260807T160046Z.json,ch4-lower-edge-narrow-20260807T160046Z,track-003,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,11,11,11,1.0243899999999968,1.0243899999999968,-4558.008904380444,51.97057907574005,0.5492142389450734,0.4265707851034574,0.3565128705847341,0.3616974662663164,0.37741225007194334,0.015449997692382051,27.995276507043346,-7.796603367311916,36.48975774771915,-12.739324206545595,-12.295440383124735,True,True,False,True
ch1-lower-edge-narrow-pluto-5d4d-20260812T184942Z::track-000,ch1-lower-edge-narrow-pluto-5d4d-20260812T184942Z.json,ch1-lower-edge-narrow-pluto-5d4d-20260812T184942Z,track-000,2026-08-12,pluto-5d4d,1,lower,narrow,manual,50.0,2500000.0,10709687500.0,6,6,6,0.9181901142857161,0.9181901142857161,-6585.326710804107,14.30717310270111,0.6438981156165893,0.3855720405827086,0.3540500737649037,0.35993971724218654,0.3759471885608644,0.016161232961525683,27.0124019947844,-7.8454156904672425,53.6637507028838,-25.489884998071254,-27.911605514368937,True,True,False,True
ch4-lower-edge-narrow-20260807T163037Z::track-003,ch4-lower-edge-narrow-20260807T163037Z.json,ch4-lower-edge-narrow-20260807T163037Z,track-003,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,10,10,10,0.9716131999999789,0.9716131999999789,-3893.3129375203794,30.43579431079092,0.6771245545999611,0.4406341327837417,0.35936945312862945,0.3597876274752219,0.3747574464877558,0.015269714449979523,27.93032441715586,-7.867753659443248,35.201570601095995,-12.461618445310993,-12.457807356199114,True,True,False,True
ch4-lower-edge-narrow-20260807T055334Z::track-001,ch4-lower-edge-narrow-20260807T055334Z.json,ch4-lower-edge-narrow-20260807T055334Z,track-001,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,4,4,4,0.306461000000013,0.306461000000013,-3292.5114476905032,4.929589718831356,0.7153430174076657,0.372826318494039,0.3449883821510087,0.3593622179259069,0.37424749900349086,0.015895538526468262,26.522343836788714,-7.885956079043906,126.81867658848248,-27.1985700838127,-32.02629704385383,True,True,False,True
ch4-lower-edge-narrow-pluto-5d4d-20260810T060642Z::track-005,ch4-lower-edge-narrow-pluto-5d4d-20260810T060642Z.json,ch4-lower-edge-narrow-pluto-5d4d-20260810T060642Z,track-005,2026-08-10,pluto-5d4d,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,6,6,6,0.76666946666667,0.76666946666667,-3839.673033781549,11.222357236994931,0.8265810022460001,0.3954008969308764,0.3551530511830881,0.3602511398781369,0.374039426043443,0.015126887388015313,27.9501244944815,-7.8873438424766675,43.406585371478705,-26.79627586735255,-31.727637550862337,True,True,False,True
ch4-lower-edge-narrow-20260806T203420Z::track-001,ch4-lower-edge-narrow-20260806T203420Z.json,ch4-lower-edge-narrow-20260806T203420Z,track-001,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,7,7,7,0.7312484499999954,0.7312484499999954,-4360.285832254097,30.527521515155865,0.7524963477140939,0.3653174946492489,0.3546423094334204,0.35661397862069477,0.3734593173096843,0.014828203996538194,27.735854121320877,-7.902817145089919,29.69727773875087,-28.04461840807744,-32.12762392183365,True,True,False,True
ch3-lower-edge-narrow-pluto-5d4d-20260812T175341Z::track-007,ch3-lower-edge-narrow-pluto-5d4d-20260812T175341Z.json,ch3-lower-edge-narrow-pluto-5d4d-20260812T175341Z,track-007,2026-08-12,pluto-5d4d,3,lower,narrow,manual,50.0,2500000.0,11209687500.0,3,3,3,1.2261589720430095,1.2261589720430095,-6750.24302871303,18.38539103753077,0.7123368754450008,0.3594239931095679,0.34086556749275765,0.3586170008999358,0.3730472584930624,0.015448557143328767,27.483307531854898,-7.913990977483195,62.22297954022345,-26.899708501936818,-30.723312303482363,True,True,False,True
ch4-lower-edge-narrow-20260806T055241Z::track-006,ch4-lower-edge-narrow-20260806T055241Z.json,ch4-lower-edge-narrow-20260806T055241Z,track-006,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,49,49,49,6.989427280000015,6.989427280000015,-3849.9725108149246,398.95119590599137,0.7881843478523028,0.4513263154705543,0.350130411995707,0.3583076670570693,0.37271680848338673,0.015408461217784494,27.48804477643768,-7.9228740832242615,47.87714497664767,-26.51988659221207,-31.544669280749137,True,True,True,True
